id,title,author,publisher,category,ean,brand,slug,description,image_url,min_players,max_players,playtime_min,min_age,external_id
1,Королевская дилемма Путешествие,12,10,8,4624580798698,Настолки.ру,nastolnaya-igra-1,Простая механика драфта и сбор сетов. Удобные правила и быстрая партия. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+1,2,4,20,6,BG00001
2,Terraforming Mars База,21,10,14,4625494134824,Настолки.ру,nastolnaya-igra-2,Стратегическая глубина и высокая реиграбельность. Компактная коробка и красивые компоненты. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+2,2,8,15,10,BG00002
3,Крылья Дуэль,22,5,9,4627187207433,Cosmodrome Games,nastolnaya-igra-3,Евро-стратегия с управлением ресурсами. Простая механика драфта и сбор сетов. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+3,2,4,90,8,BG00003
4,Patchwork Путешествие,11,5,9,4623121890075,Cosmodrome Games,nastolnaya-igra-4,Подходит для семейных посиделок. Кооперативный режим с нарастающим напряжением. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+4,2,6,15,8,BG00004
5,Dixit Путешествие,21,8,2,4626667598580,Lifestyle Boardgames,nastolnaya-igra-5,Компактная коробка и красивые компоненты. Евро-стратегия с управлением ресурсами. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+5,1,8,15,10,BG00005
6,Имаджинариум Путешествие,22,5,3,4627604758722,Cosmodrome Games,nastolnaya-igra-6,Компактная коробка и красивые компоненты. Стратегическая глубина и высокая реиграбельность. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+6,1,6,20,10,BG00006
7,Гвинтариум Дуэль,15,10,10,4622171516935,Настолки.ру,nastolnaya-igra-7,Кооперативный режим с нарастающим напряжением. Компактная коробка и красивые компоненты. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+7,1,4,60,12,BG00007
8,Саботёр,2,1,7,4623522675400,Hobby World,nastolnaya-igra-8,Простая механика драфта и сбор сетов. Удобные правила и быстрая партия. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+8,2,7,60,6,BG00008
9,Сплэндер Классика,17,1,14,4622911929742,Hobby World,nastolnaya-igra-9,Простая механика драфта и сбор сетов. Подходит для семейных посиделок. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+9,1,6,120,6,BG00009
10,Королевская дилемма,13,4,10,4620464764636,Crowd Games,nastolnaya-igra-10,Стратегическая глубина и высокая реиграбельность. Отличный выбор для компании. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+10,1,4,15,8,BG00010
11,Azul Путешествие,15,8,2,4625043867784,Lifestyle Boardgames,nastolnaya-igra-11,Стратегическая глубина и высокая реиграбельность. Простая механика драфта и сбор сетов. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+11,2,7,15,14,BG00011
12,Квест Мастера Классика,13,6,12,4625522159553,Zvezda,nastolnaya-igra-12,Простая механика драфта и сбор сетов. Кооперативный режим с нарастающим напряжением. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+12,1,5,90,12,BG00012
13,Clank! Делюкс,16,1,2,4629872577555,Hobby World,nastolnaya-igra-13,Стратегическая глубина и высокая реиграбельность. Простая механика драфта и сбор сетов. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+13,1,8,120,6,BG00013
14,Dixit Дополнение,8,2,4,4629478598145,GaGa Games,nastolnaya-igra-14,Кооперативный режим с нарастающим напряжением. Простая механика драфта и сбор сетов. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+14,1,6,45,6,BG00014
15,Каркассон База,15,7,8,4626047212471,Magellan,nastolnaya-igra-15,Кооперативный режим с нарастающим напряжением. Компактная коробка и красивые компоненты. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+15,2,5,60,6,BG00015
16,Эверделл Дополнение,20,3,12,4622209067811,Лавка Игр,nastolnaya-igra-16,Подходит для семейных посиделок. Стратегическая глубина и высокая реиграбельность. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+16,1,5,90,12,BG00016
